C14ID,Period,C14Age,C14SD,LabCode,PhaseCode,SiteID,Material,MaterialSpecies,RectID
9963,UM,7700,100,GrN-1173,NULL,S1768,charcoal,NULL,1620
9964,UM,7700,70,GrN-1567,NULL,S1768,charcoal,NULL,1620
9965,UM,7455,120,GrN-615,NULL,S1767,charcoal,NULL,1620
9966,UM,7560,70,GrN-10340,NULL,S3191,charcoal,NULL,1619
9967,UM,7400,70,GrN-10341,NULL,S3191,charcoal,NULL,1619
9968,UM,7620,50,GrN-5043,NULL,S4205,charcoal,NULL,1620
9969,UM,8760,50,GrN-29116,NULL,S4230,charcoal,NULL,1621
9970,UM,8630,50,GrN-29115,NULL,S4230,charcoal,NULL,1621
9971,UM,6785,35,OxA-8136,NULL,S3866,human bone,Homo sapiens,1606
9972,UM,7030,140,GrN-236,NULL,S1779,NULL,NULL,1620
9973,UM,8700,50,GrN-29118,NULL,S4231,charcoal,NULL,1621
9974,UM,8480,60,GrN-29117,NULL,S4231,charcoal,NULL,1621
9975,UM,7800,110,GrN-1505,NULL,S1768,NULL,NULL,1620
9976,UM,7725,100,GrN-1508,NULL,S1768,NULL,NULL,1620
9977,UN,4860,55,OxA-630,NULL,S3215,human bone,Homo sapiens,1604
9978,LMEN,6200,80,OxA-2758,NULL,S3877,bone,NULL,1591
9979,LMEN,5270,80,OxA-2942,NULL,S3877,bone,NULL,1591
9980,LMEN,5180,80,OxA-2943,NULL,S3877,bone,NULL,1591
9981,LMEN,5170,90,OxA-2941,NULL,S3877,bone,NULL,1591
9982,MM,7630,140,GrN-206,DND1,S1731,charcoal,NULL,1621
9984,MM,6950,160,GrN-152,DND1,S1731,charcoal,NULL,1621
9985,NULL,3960,70,GrN-4154,NULL,S2986,wood,NULL,1621
9986,UM,7650,80,HAR-656,NULL,S2002,NULL,NULL,1600
9989,UM,8847,210,Q-1127,NULL,S4223,bone,NULL,1604
9990,UM,8540,40,GrN-28579,NULL,S2389,charcoal,NULL,1621
9991,UM,8270,30,GrN-28578,NULL,S2389,charcoal,NULL,1621
9992,UM,7840,30,GrN-28580,NULL,S2389,charcoal,NULL,1621
9993,UM,7650,40,GrN-28581,NULL,S2389,charcoal,NULL,1621
9994,UM,7360,60,GrN-28577,NULL,S2389,charcoal,NULL,1621
9995,MM,9990,105,K-4581,STLL1,S3873,animal bone,Rangifer tarandus,1559
9996,MM,9980,105,K-4579,STLL1,S3873,animal bone,Rangifer tarandus,1559
9997,MM,9930,100,K-4323,STLL1,S3873,animal bone,Rangifer tarandus,1559
9998,MM,9900,105,K-4324,STLL1,S3873,animal bone,Rangifer tarandus,1559
9999,MM,9810,100,K-4580,STLL1,S3873,animal bone,Rangifer tarandus,1559
10000,MM,9680,90,OxA-2875,STLL1,S3873,NULL,NULL,1559
10001,MM,9500,200,W-262,STLL1,S3873,bone,NULL,1559
10002,MM,9310,260,Y-159,STLL1,S3873,bone,NULL,1559
10003,MM,9220,90,OxA-2874,STLL1,S3873,NULL,NULL,1559
10004,MM,8970,75,OxA-3628,STLL1,S3873,NULL,NULL,1559
10005,UM,7450,80,GrN-4325,NULL,S4204,charcoal,NULL,1619
10006,UM,7230,65,GrN-1683,NULL,S1676,charcoal,NULL,1620
10007,UM,6960,140,GrN-685,NULL,S1676,charred plant macrofossils,Corylus avellana,1620
10008,UM,7978,39,UtC-13068,NULL,S2226,NULL,NULL,1619
10009,UM,7545,50,GrN-28976,NULL,S2226,NULL,NULL,1619
10010,UM,8010,75,GrN-6845,NULL,S1276,NULL,NULL,1619
10011,UM,7700,500,GrN-14889,NULL,S1277,NULL,NULL,1619
10012,UM,7310,60,GrN-14886,NULL,S1277,NULL,NULL,1619
10013,UM,7175,35,GrN-7927,NULL,S1277,charcoal,NULL,1619
10015,UM,7035,45,GrN-6843,NULL,S1277,charcoal,NULL,1619
10016,UM,6870,240,GrN-14890,NULL,S1277,NULL,NULL,1619
10017,UM,6870,90,GrN-8227,NULL,S1277,NULL,NULL,1619
10018,UM,6860,70,GrN-12000,NULL,S1277,NULL,NULL,1619
10019,UM,6720,140,GrN-14885,NULL,S1277,NULL,NULL,1619
10020,UM,6710,90,GrN-14884,NULL,S1277,NULL,NULL,1619
10021,UM,6630,110,GrN-8228,NULL,S1277,NULL,NULL,1619
10022,UM,6600,150,GrN-14891,NULL,S1277,NULL,NULL,1619
10023,UM,6320,120,GrN-11998,NULL,S1277,NULL,NULL,1619
10024,UM,4980,110,GrN-11999,NULL,S1277,NULL,NULL,1619
10025,UM,4730,60,GrN-6846,NULL,S1276,NULL,NULL,1619
10026,UM,8540,40,GrN-28293,NULL,S2704,charcoal,NULL,1620
10027,UM,8300,30,GrN-28291,NULL,S2704,charcoal,NULL,1620
10028,UM,8220,50,GrN-28295,NULL,S2704,charcoal,Pinus sp.,1620
10029,UM,8220,40,GrN-28284,NULL,S2704,charcoal,Pinus sp.,1620
10030,UM,8200,50,GrN-28294,NULL,S2704,charcoal,Pinus sp.,1620
10031,UM,8200,50,GrN-28838,NULL,S2704,charcoal,NULL,1620
10032,UM,8090,45,GrN-28297,NULL,S2704,charcoal,Pinus sp.,1620
10033,UM,7990,30,GrN-28292,NULL,S2704,charcoal,NULL,1620
10034,UM,7950,40,GrN-28287,NULL,S2704,charcoal,Pinus sp.,1620
10035,UM,7870,50,GrN-28286,NULL,S2704,charcoal,Pinus sp.,1620
10036,UM,7840,30,GrN-28285,NULL,S2704,charcoal,NULL,1620
10037,UM,7810,50,GrN-28296,NULL,S2704,charcoal,Quercus sp.,1620
10038,UM,7550,50,GrN-28289,NULL,S2704,charcoal,Quercus sp.,1620
10039,UM,7430,50,GrN-28288,NULL,S2704,charcoal,NULL,1620
10040,UM,7360,40,GrN-28290,NULL,S2704,charcoal,Quercus sp.,1620
10041,UM,8100,70,GrN-28839,NULL,S3687,charcoal,NULL,1621
10042,UM,7920,50,GrN-28841,NULL,S3687,charcoal,NULL,1621
10043,UM,7910,60,GrN-28840,NULL,S3687,charcoal,NULL,1621
10044,UM,7700,50,GrN-28842,NULL,S3687,charcoal,NULL,1621
10045,UM,7560,60,GrN-28843,NULL,S3687,charcoal,NULL,1621
10046,UM,8310,80,GrN-24617,LEEK1,S2706,charcoal,Pinus sp.,1620
10048,UM,8120,80,GrN-16191,LEEK1,S2706,charcoal,Betula sp.,1620
10049,UM,7870,40,GrN-23673,LEEK1,S2706,charcoal,Pinus sp.,1620
10050,UM,7820,40,GrN-23671,LEEK1,S2706,charred plant macrofossils,Corylus avellana,1620
10051,UM,7820,30,GrN-23672,LEEK1,S2706,charred plant macrofossils,Corylus avellana,1620
10052,UM,8640,150,Q-1385,NULL,S4046,charred plant macrofossils,Corylus avellana,1598
10055,NULL,5485,75,OxA-9929,NULL,S1951,human bone,Homo sapiens,1604
10056,EN,5185,60,OxA-9805,NULL,S1951,human bone,Homo sapiens,1604
10057,UM,7520,80,GrN-29206,NULL,S2254,charcoal,Quercus sp.,1620
10058,UM,8980,360,UB-2268,NULL,S2856,charcoal,NULL,1592
10059,UM,8475,75,UB-2199,NULL,S2856,charcoal,NULL,1592
10060,UM,8450,70,UB-2267,NULL,S2856,charcoal,NULL,1592
10061,UM,8350,70,UB-2200,NULL,S2856,charcoal,NULL,1592
10062,UM,7965,50,GrN-12261,NULL,S3982,charcoal,NULL,1619
10063,UM,7750,75,GrN-6077,NULL,S3982,charcoal,NULL,1619
10064,UM,7505,75,GrN-6078,NULL,S3982,charcoal,NULL,1619
10065,UM,9780,110,GrN-29291,NULL,S3794,charcoal,NULL,1621
10066,UM,9050,80,GrN-29288,NULL,S3794,charcoal,NULL,1621
10067,UM,8870,70,GrN-29289,NULL,S3794,charcoal,NULL,1621
10068,UM,8860,50,GrN-29586,NULL,S3794,charred plant macrofossils,Corylus avellana,1621
10069,UM,8850,80,GrN-29293,NULL,S3794,charcoal,Pinus sp.,1621
10070,UM,8830,80,GrN-29307,NULL,S3794,charcoal,Pinus sp.,1621
10071,UM,8720,80,GrN-29287,NULL,S3794,charcoal,Pinus sp.,1621
10072,UM,8660,70,GrN-29292,NULL,S3794,charcoal,Pinus sp.,1621
10073,UM,8640,60,GrN-29290,NULL,S3794,charcoal,Pinus sp.,1621
10074,UM,8310,60,GrA-27105,NULL,S3794,charred plant macrofossils,Corylus avellana,1621
10075,UM,8300,50,GrN-29295,NULL,S3794,charcoal,Quercus sp.,1621
10076,UM,7810,50,GrN-29294,NULL,S3794,charcoal,Quercus sp.,1621
10077,UM,8240,70,GrN-29195,NULL,S2082,charcoal,Pinus sp.,1621
10078,UM,8150,60,GrN-29189,NULL,S2082,charcoal,Pinus sp.,1621
10079,UM,8140,80,GrN-29180,NULL,S2082,charcoal,Pinus sp.,1621
10080,UM,8130,70,GrN-29202,NULL,S2082,charcoal,Pinus sp.,1621
10081,UM,8130,50,GrN-29198,NULL,S2082,charcoal,Pinus sp.,1621
10082,UM,8120,70,GrN-29177,NULL,S2082,charcoal,Pinus sp.,1621
10083,UM,8120,60,GrN-29184,NULL,S2082,charcoal,Quercus sp.,1621
10084,UM,8100,60,GrN-29186,NULL,S2082,charcoal,Pinus sp.,1621
10085,UM,8090,70,GrN-29178,NULL,S2082,charcoal,Pinus sp.,1621
10086,UM,8090,70,GrN-29201,NULL,S2082,charcoal,Pinus sp.,1621
10087,UM,8080,70,GrN-29193,NULL,S2082,charcoal,Pinus sp.,1621
10088,UM,8080,70,GrN-29194,NULL,S2082,charcoal,Pinus sp.,1621
10089,UM,8080,60,GrN-29179,NULL,S2082,charcoal,Pinus sp.,1621
10090,UM,8080,60,GrN-29190,NULL,S2082,charcoal,Quercus sp.,1621
10091,UM,8070,70,GrN-29197,NULL,S2082,charcoal,Pinus sp.,1621
10092,UM,8070,60,GrN-29183,NULL,S2082,charcoal,Pinus sp.,1621
10093,UM,8070,50,GrN-29196,NULL,S2082,charcoal,Pinus sp.,1621
10094,UM,8060,50,GrN-29185,NULL,S2082,charcoal,Pinus sp.,1621
10095,UM,8050,70,GrN-29199,NULL,S2082,charcoal,Pinus sp.,1621
10096,UM,8050,70,GrN-29205,NULL,S2082,charcoal,Pinus sp.,1621
10097,UM,8020,50,GrN-29200,NULL,S2082,charcoal,Pinus sp.,1621
10098,UM,8010,80,GrN-29191,NULL,S2082,charcoal,Pinus sp.,1621
10099,UM,8010,70,GrN-29204,NULL,S2082,charcoal,Pinus sp.,1621
10100,UM,8000,50,GrN-29187,NULL,S2082,charcoal,Pinus sp.,1621
10101,UM,7990,50,GrN-29203,NULL,S2082,charcoal,Pinus sp.,1621
10102,UM,7980,90,GrN-29192,NULL,S2082,charcoal,Quercus sp.,1621
10103,UM,7970,80,GrN-29182,NULL,S2082,charcoal,Quercus sp.,1621
10104,UM,7920,90,GrN-29188,NULL,S2082,charcoal,Pinus sp.,1621
10105,UM,7420,40,OxA-5819,NULL,S3356,human bone,Homo sapiens,1600
10106,UM,8170,60,GrN-24437,NULL,S2084,charcoal,Pinus sp.,1620
10107,UM,6220,40,GrN-24745,NULL,S2084,charcoal,Quercus sp.,1620
10108,UM,6140,40,GrN-24436,NULL,S2084,charcoal,Quercus sp.,1620
10109,UM,7860,50,GrN-29114,NULL,S4242,charcoal,NULL,1621
10110,UM,6510,90,CAR-797,NULL,S1452,NULL,NULL,1599
10111,UM,9450,90,OxA-6139,NULL,S4182,peat,NULL,1603
10112,UM,9220,75,OxA-6140,NULL,S4182,peat,NULL,1603
10113,UM,8750,50,GrN-22709,NULL,S2587,NULL,NULL,1621
10114,UN,4120,45,BM-2346,NULL,S2011,animal bone,Bos sp.,1608
10115,LMEN,7170,80,HAR-6500,NULL,S1109,NULL,NULL,1604
10116,UM,6630,80,OxA-1978,NULL,S1406,peat,NULL,1604
10117,NULL,5000,40,OxA-7386,NULL,S3501,human bone,Homo sapiens,1605
10118,UN,4870,120,OxA-1807,NULL,S3501,human bone,Homo sapiens,1605
10119,UN,4375,80,OxA-5846,NULL,S2832,charred plant macrofossils,Corylus avellana,1674
10120,UM,9910,90,OxA-3399,NULL,S3051,tooth,Bovidae,1605
10121,UM,8960,95,OxA-3453,NULL,S3051,bone,NULL,1605
10122,UM,8900,90,OxA-3397,NULL,S3051,plant macrofossils,Corylus avellana,1605
10123,UM,8800,300,Q-551,NULL,S3051,charcoal,NULL,1605
10124,UM,8730,95,OxA-3394,NULL,S3051,charred plant macrofossils,Corylus avellana,1605
10125,UM,8500,110,OxA-3396,NULL,S3051,plant macrofossils,Corylus avellana,1605
10126,UM,8480,95,OxA-3395,NULL,S3051,animal bone,Bovidae,1605
10127,UM,7602,140,Q-552,NULL,S3051,charcoal,NULL,1605
10128,UM,6915,140,Q-553 ,NULL,S3051,charcoal,NULL,1605
10129,UM,6705,140,Q-554,NULL,S3051,charcoal,NULL,1605
10130,NULL,4110,75,OxA-3392,NULL,S3051,charcoal,Taxus sp.,1605
10131,EN,2655,55,OxA-5551,NULL,S3854,human bone,Homo sapiens,1397
10132,UN,5380,90,OxA-4176,NULL,S4226,human bone,Homo sapiens,1605
10133,UN,5190,100,OxA-4177,NULL,S4226,human bone,Homo sapiens,1605
10134,UN,5115,70,OxA-4326,NULL,S4226,human bone,Homo sapiens,1605
10135,UN,4760,90,OxA-4447,NULL,S2939,human bone,Homo sapiens,1605
10136,UN,4740,90,OxA-4448,NULL,S2939,human bone,Homo sapiens,1605
10137,LMEN,5300,170,D-38,NULL,S1666,charcoal,NULL,1595
10138,UN,4160,150,BM-78,NULL,S1666,bone,NULL,1595
10139,UM,8130,90,OxA-2295,NULL,S1213,charcoal,NULL,1604
10140,UM,9720,300,OxA-569,NULL,S2305,peat,NULL,1524
10143,UM,7600,900,OxA-567,NULL,S3061,plant macrofossils,NULL,1525
10144,UM,7600,500,OxA-568,NULL,S2305,plant macrofossils,NULL,1524
10145,UM,8739,86,BM-691,NULL,S3468,charred plant macrofossils,Corylus avellana,1600
10146,UM,8528,73,BM-822,NULL,S3468,charred plant macrofossils,Corylus avellana,1600
10147,UBA,4170,80,HAR-4694,NULL,S3066,NULL,NULL,1598
10148,UBA,3890,80,HAR-4695,NULL,S3066,NULL,NULL,1598
10149,UM,6616,220,Q-1117,NULL,S3977,wood,NULL,1605
10150,UM,6433,115,Q-1116,NULL,S3977,wood,NULL,1605
10151,UM,5680,150,Q-1118,NULL,S3977,wood,NULL,1605
10152,UM,8200,50,GrN-12417,NULL,S1724,charcoal,NULL,1619
10153,UM,7450,40,GrN-12418,NULL,S1724,charcoal,NULL,1619
10154,UM,8730,90,OxA-2269,NULL,S3380,plant macrofossils,Corylus avellana,1601
10155,UM,8700,100,OxA-2268,NULL,S3380,plant macrofossils,Corylus avellana,1601
10156,UM,6560,80,OxA-1009,NULL,S3831,antler,Cervus elaphus,1600
10157,UN,4923,75,BM-452,NULL,S1256,charcoal,NULL,1598
10158,UM,9940,115,BM-440a,NULL,S1089,bone,NULL,1605
10159,UM,9850,115,BM-439,NULL,S1089,bone,NULL,1605
10160,UM,9750,110,BM-440b,NULL,S1089,antler,Rangifer tarandus,1605
10161,UN,4650,70,OxA-2678,NULL,S3292,human bone,Homo sapiens,1595
10165,UM,5360,110,I-4234,NULL,S1563,peat,NULL,1524
10166,UM,5250,110,I-5067,NULL,S3909,charcoal,NULL,1592
10167,NULL,4120,70,GrN-12346,NULL,S3244,charcoal,NULL,1595
10169,UM,8573,110,Q-800,NULL,S1379,wood,NULL,1604
10170,UN,4590,80,UB-3629,NULL,S3677,human bone,Homo sapiens,1536
10171,UM,5380,80,Q-799,NULL,S1761,wood,NULL,1535
10172,NULL,5360,55,OxA-4804,NULL,S2182,food residue,NULL,1559
10173,LM,5310,55,OxA-4806,HMB1,S2182,food residue,NULL,1559
10174,LM,5270,60,OxA-4805,HMB1,S2182,food residue,NULL,1559
10175,NULL,4745,60,OxA-5117,NULL,S2182,food residue,NULL,1559
10180,NULL,3780,50,OxA 5119,HMB2,S2182,bone,NULL,1559
10181,NULL,3595,50,OxA 5118,NULL,S2182,antler,NULL,1559
10183,UM,5830,100,Q-1190,NULL,S3521,charcoal,NULL,1535
10184,UN,4260,160,D-43,NULL,S3938,charcoal,NULL,1525
10185,UN,4080,160,D-42,NULL,S3938,charcoal,NULL,1525
10186,UM,9210,340,Q-1185,NULL,S4196,charcoal,NULL,1535
10188,UM,8606,110,Q-789,NULL,S4197,wood,NULL,1535
10189,UM,9565,470,Q-1187,NULL,S2842,charcoal,NULL,1534
10190,UM,6120,220,Q-1188,NULL,S2928,charcoal,NULL,1534
10191,UM,5850,80,Q-788,NULL,S2927,wood,NULL,1534
10192,UM,9396,210,Q-1300,NULL,S4211,charcoal,NULL,1534
10193,MM,10000,40,GrN-11251,MIEN9,S2966,wood,NULL,1559
10194,MM,9550,40,GrN-11253,MIEN9,S2966,bone,NULL,1559
10195,LN,4166,120,Bln-342,SERRN1,S3730,charcoal,NULL,1563
10196,LN,3845,70,UZ-4085,SERRN1,S3730,bone,NULL,1563
10197,UM,7550,210,Q-1166,NULL,S3493,charcoal,NULL,1534
10198,UM,5820,95,Q-2394,NULL,S3826,peat,NULL,1534
10199,MN,4795,60,Hv-8452,FE,S1917,NULL,NULL,1556
10200,MN,4730,85,Hv-8454,FE,S1917,NULL,NULL,1556
10201,MN,4500,65,Hv-8450,FE,S1917,charcoal,NULL,1556
10202,MN,4400,65,Hv-8453,FE,S1917,charcoal,NULL,1556
10203,NULL,4120,60,OxA-5122,NULL,S1769,plant macrofossils,Corylus avellana,1560
10204,UN,4500,45,GrN-5462,NULL,S3114,NULL,NULL,1525
10205,UN,4480,60,GrN-9057,NULL,S3114,peat,NULL,1525
10207,UN,4415,40,GrN-5463,NULL,S3114,NULL,NULL,1525
10208,EBA,3985,55,UB-2392,NG,S3114,charcoal,NULL,1525
10209,EBA,3985,45,UB-2393,NG,S3114,charcoal,NULL,1525
10210,EBA,3875,90,UB-2394,NG,S3114,charcoal,NULL,1525
10211,UN,4875,150,UB-318,NULL,S2419,charcoal,NULL,1525
10212,UN,4795,185,UB-319,NULL,S2419,charcoal,NULL,1525
10213,UN,4745,165,UB-357,NULL,S2419,charcoal,NULL,1525
10214,UN,4070,60,GrN-11801,NULL,S3114,charcoal,NULL,1525
10215,UN,4070,40,GrN-11800,NULL,S3114,charcoal,NULL,1525
10216,UN,4050,65,GU-1617,NULL,S3114,charcoal,NULL,1525
10217,UN,4030,35,GrN-11802,NULL,S3114,charcoal,NULL,1525
10218,UN,4000,65,GU-1620,NULL,S3114,charcoal,NULL,1525
10219,UN,4000,30,GrN-12828,NULL,S3114,charcoal,NULL,1525
10220,EBA,3980,75,GU-1618,NG,S3114,charcoal,NULL,1525
10221,EBA,3975,60,GU-1773,NG,S3114,charcoal,NULL,1525
10222,EBA,3970,70,GU-1622,NG,S3114,charcoal,NULL,1525
10223,EBA,3965,65,GU-1774,NG,S3114,charcoal,NULL,1525
10224,EBA,3935,70,GU-1771,NG,S3114,charcoal,NULL,1525
10225,EBA,3930,35,GrN-12829,NG,S3114,charcoal,NULL,1525
10226,EBA,3900,60,GU-1772,NG,S3114,charcoal,NULL,1525
10227,EBA,3890,75,GU-1621,NG,S3114,charcoal,NULL,1525
10228,EBA,3885,70,GU-1619,NG,S3114,charcoal,NULL,1525
10229,UN,4852,71,BM-1076,NULL,S2419,charcoal,NULL,1525
10230,UN,4490,60,GrN-12358,NULL,S2419,charcoal,NULL,1525
10231,UN,4465,40,GrN-12827,NULL,S2419,wood,NULL,1525
10232,UN,4399,67,BM-1078,NULL,S2419,charcoal,NULL,1525
10233,UN,4158,126,BM-785,NULL,S2419,charcoal,NULL,1525
10234,UN,4680,150,BM-170,NULL,S4018,charcoal,NULL,1526
10235,UN,4750,65,UB-732,NULL,S3015,charcoal,Alnus sp.,1525
10236,UM,5270,60,GrN-11443,NULL,S1563,charcoal,NULL,1524
10237,NULL,3460,35,GrN-11442,NULL,S3061,charcoal,NULL,1525
10239,MN,5140,115,H29/146,HEID2,S2219,NULL,NULL,1558
10241,MN,5140,115,H-491.46,HEID2,S2219,NULL,NULL,1558
10242,MN,5020,105,H-30145,HEID2,S2219,NULL,NULL,1558
10243,MN,4530,170,Y-443b,HEID2,S2219,NULL,NULL,1558
10245,MN,4210,80,Y-443h,HEID2,S2219,NULL,NULL,1558
10246,LM,6385,60,OxA-4802,SD,S3691,food residue,NULL,1559
10247,LM,6320,60,OxA-4803,SD,S3691,food residue,NULL,1559
10248,LM,6155,60,OxA-4801,SD,S3691,food residue,NULL,1559
10249,LM,6105,95,OxA-3326,SD,S3691,animal bone,Sus sp.,1559
10250,UM,8100,150,Q-707,NULL,S2285,charred plant macrofossils,Corylus avellana,1534
10251,EMN,6810,185,Hv-19211,BEB76,S1254,organic substance,NULL,1559
10252,EMN,6700,390,Hv-19208,BEB76,S1254,animal bone,Cervus elaphus,1559
10253,EMN,6420,235,Hv-19205,BEB76,S1254,animal bone,Sus scrofa,1559
10254,EMN,6200,165,Hv-19204,BEB76,S1254,animal bone,Cervus elaphus,1559
10255,EMN,6100,160,KN-4750,BEB76,S1254,organic substance,NULL,1559
10256,UM,5970,155,Hv-19209,NULL,S1254,organic substance,NULL,1559
10257,EMN,5680,60,UtC 2879,BEB76,S1254,organic substance,NULL,1559
10259,UM,5255,175,HV-19207,NULL,S1254,organic substance,NULL,1559
10260,LN,5240,50,UtC-2064,BEB1,S1254,animal bone,Cervus elaphus,1559
10261,NULL,5050,150,Hv-19203,NULL,S1254,organic substance,NULL,1559
10262,NULL,4990,225,Hv-19210,NULL,S1254,organic substance,NULL,1559
10263,LN,4930,80,UtC-2063,BEB1,S1254,animal bone,Cervus elaphus,1559
10264,LN,4920,60,UtC-2881,BEB1,S1254,NULL,NULL,1559
10265,LN,4810,60,UtC-2880,BEB1,S1254,animal bone,Cervus elaphus,1559
10266,LN,4785,42,UtC-4008,BEB1,S1254,organic substance,NULL,1559
10267,LN,4784,51,UtC-4009,BEB1,S1254,organic substance,NULL,1559
10268,LN,4770,50,UtC-2882,BEB1,S1254,organic substance,NULL,1559
10269,LN,4730,50,UtC-2062,BEB1,S1254,bone,Bos primigenius,1559
10272,NULL,4640,300,Hv-19206,NULL,S1254,NULL,NULL,1559
10273,NULL,4622,40,UtC-4010,NULL,S1254,bone,Bos primigenius,1559
10276,NULL,4584,50,UtC-4007,NULL,S1254,charred plant macrofossils,Corylus avellana,1559
10277,NULL,3740,240,KN-4746,NULL,S1254,animal bone,Bos sp.,1559
10278,UN,4933,64,BM-1170,NULL,S1432,charcoal,NULL,1537
10279,UN,4803,71,BM-1167,NULL,S1432,charcoal,NULL,1537
10281,LM,5692,35,KIA-11615,TIMDR1,S3987,wood,NULL,1561
10283,LM,5613,29,KIA-16020,TIMDR1,S3987,wood,NULL,1561
10285,LM,5580,35,KIA-11170,TIMDR1,S3987,animal bone,Canis familiaris,1561
10289,LM,5505,37,KIA-11619,TIMDR1,S3987,wood,NULL,1561
10291,LM,5443,36,KIA-16019,TIMDR1,S3987,wood,NULL,1561
10293,LM,5418,22,KIA-12475,TIMDR1,S3987,wood,NULL,1561
10294,LM,5388,28,KIA-12476,TIMDR1,S3987,wood,NULL,1561
10297,LM,5343,34,KIA-11618,TIMDR1,S3987,wood,NULL,1561
10299,LM,5327,39,KIA-11620,TIMDR1,S3987,wood,NULL,1561
10301,UM,7695,95,UB-2660,NULL,S3202,NULL,NULL,1806
10302,UM,7660,100,UB-2659,NULL,S3202,NULL,NULL,1806
10303,UM,7640,80,UB-2658,NULL,S3202,NULL,NULL,1806
10304,UM,7350,95,UB-2593,NULL,S3202,NULL,NULL,1806
10305,NULL,5076,36,KIa-16022,TIMDR2,S3988,animal bone,Bos sp.,1492
10306,NULL,4544,29,KIA-16021,TIMDR2,S3988,bone,NULL,1492
10307,NULL,4111,26,KIA-16023,TIMDR2,S3988,animal bone,Bos sp.,1492
10308,UM,5470,110,I-5323,NULL,S3522,charcoal,NULL,1457
10309,LMEN,7150,75,OxA-4479,SEE,S3709,animal bone,Capreolus capreolus,1629
10310,LMEN,6925,70,OxA-4480,SEE,S3709,animal bone,Bos sp.,1629
10311,LMEN,5935,65,OxA-4482,SEE,S3709,food residue,NULL,1629
10312,LMEN,5835,70,OxA-4483,SEE,S3709,food residue,NULL,1629
10313,LMEN,5160,70,OxA-4016,SEE,S3709,food residue,NULL,1629
10314,UM,5830,65,Lu-1961,NULL,S2305,peat,NULL,1524
10315,UM,5640,65,Lu-1962,NULL,S1471,peat,NULL,1453
10316,UM,5270,60,Lu-1963,NULL,S2305,peat,NULL,1524
10317,UN,4010,55,Lu-1960,NULL,S1471,wood,Salix sp.,1453
10318,UN,4830,125,BM-293,NULL,S2393,charcoal,NULL,1469
10319,LM,6673,28,KIA-16025,JACN,S2318,animal bone,Sus scrofa,1492
10320,LM,6620,34,KIA-16027,JACN,S2318,wood,NULL,1492
10321,LM,6494,33,KIA-16024,JACN,S2318,wood,NULL,1492
10322,LM,6377,30,KIA-16026,JACN,S2318,animal bone,Sus scrofa,1492
10323,LM,6353,46,KIA-11617,JACN,S2318,animal bone,Cervus elaphus,1492
10325,LM,6325,35,KIA-10402,JACN,S2318,bone,NULL,1492
10326,LM,6253,39,KIA-11616,JACN,S2318,wood,NULL,1492
10327,LM,6201,41,KIA-10401,JACN,S2318,animal bone,Sus scrofa,1492
10328,NULL,4080,100,Bln-473,LIEP,S2800,charcoal,Quercus sp.,1565
10329,UM,6500,310,Q-141,NULL,S2062,charcoal,NULL,1466
10332,UN,4395,55,UB-241,NULL,S1087,charcoal,NULL,1456
10333,LMEN,9210,110,OxA-11658,NULL,S3737,charcoal,Alnus sp.,1469
10334,UN,4791,36,OxA-13855,NULL,S3737,charred plant macrofossils,Corylus avellana,1469
10335,UN,4734,35,OxA-13850,NULL,S3737,charred plant macrofossils,Corylus avellana,1469
10336,UN,4711,33,OxA-13971,NULL,S3737,charred plant macrofossils,Corylus avellana,1469
10337,UN,4710,40,OxA-11605,NULL,S3737,charred plant macrofossils,Corylus avellana,1469
10338,UN,4670,40,OxA-11606,NULL,S3737,charred plant macrofossils,Corylus avellana,1469
10339,UN,4659,35,OxA-13854,NULL,S3737,charred plant macrofossils,Corylus avellana,1469
10340,UN,4629,35,OxA-13874,NULL,S3737,carbonised residue,NULL,1469
10341,UN,4570,31,OxA-13853,NULL,S3737,carbonised residue,NULL,1469
10342,UN,4480,40,OxA-11603,NULL,S3737,charred plant macrofossils,Corylus avellana,1469
10343,UN,4433,38,OxA-13851,NULL,S3737,carbonised residue,NULL,1469
10344,UN,4428,35,OxA-13852,NULL,S3737,charred plant macrofossils,Corylus avellana,1469
10345,UN,4380,60,OxA-11661,NULL,S3737,carbonised residue,NULL,1469
10346,UN,4357,39,OxA-11539,NULL,S3737,charred plant macrofossils,Corylus avellana,1469
10347,UN,4290,40,OxA-11538,NULL,S3737,charred plant macrofossils,Corylus avellana,1469
10348,UN,4180,55,OxA-11679,NULL,S3737,carbonised residue,NULL,1469
10349,UN,4140,190,OxA-13962,NULL,S3737,carbonised residue,NULL,1469
10350,UN,3955,75,UB-180,NULL,S3793,soil,NULL,1457
10351,UN,4920,75,OxA-5581,NULL,S2947,plant macrofossils,Corylus avellana,1467
10352,UN,4915,65,OxA-5586,NULL,S2947,plant macrofossils,Corylus avellana,1467
10353,UN,4760,75,OxA-5580,NULL,S2947,plant macrofossils,Corylus avellana,1467
10354,UN,4760,70,OxA-5583,NULL,S2947,plant macrofossils,Corylus avellana,1467
10355,UN,4745,60,OxA-5584,NULL,S2947,plant macrofossils,Corylus avellana,1467
10356,UN,4690,55,OxA-5582,NULL,S2947,plant macrofossils,Corylus avellana,1467
10357,UN,4645,55,OxA-5574,NULL,S2947,plant macrofossils,Corylus avellana,1467
10358,UN,4585,70,OxA-5567,NULL,S2947,plant macrofossils,Corylus avellana,1467
